Ticker,Sector,Price,TrendScore,RS,FromHigh,EPS,Revenue,ScanDate
LRCX,Technology,366.81,8/8,99,0.0%,+40.8%,+23.8%,2026-06-14
AMAT,Technology,567.25,8/8,99,0.0%,+33.5%,+11.4%,2026-06-14
FTNT,Technology,146.3,8/8,77,-2.25%,+28.6%,+20.1%,2026-06-14
AMD,Technology,511.57,8/8,99,-5.7%,+91.2%,+37.8%,2026-06-14
MPWR,Technology,1577.32,8/8,90,-6.66%,+39.5%,+26.1%,2026-06-14
ARM,Technology,380.81,8/8,99,-7.53%,+47.9%,+20.1%,2026-06-14
MU,Technology,981.61,8/8,99,-9.07%,+756.0%,+196.3%,2026-06-14
FORM,Technology,139.21,8/8,99,-10.23%,+225.0%,+32.0%,2026-06-14
GOOGL,Communication Services,359.68,7/8,75,-10.61%,+82.0%,+21.8%,2026-06-14
MRVL,Technology,279.7,8/8,99,-11.61%,-80.4%,+27.6%,2026-06-14
TWLO,Technology,204.08,8/8,79,-13.76%,+375.0%,+20.0%,2026-06-14
CLS,Technology,393.12,8/8,99,-16.78%,+147.3%,+52.8%,2026-06-14
DDOG,Technology,229.9,8/8,86,-17.15%,+104.0%,+32.2%,2026-06-14
VRT,Industrials,302.87,7/8,99,-19.5%,+135.7%,+30.1%,2026-06-14
RKLB,Industrials,102.39,7/8,99,-31.84%,N/A,+63.5%,2026-06-14
